,company,rating,location,company_size,revenue,glassdoor_awards,other_awards,interview_difficulty
892,eMids Technologies,3.7,3,1,0.5,0,1,2.9
893,Bitdefender,3.7,3,1,10,0,0,3.1
894,T-Systems,3.7,5,1,0.001,0,0,2.8
895,Impetus Technologies,3.7,3,1,2,0,0,3.2
896,Information Services Group,4.4,5,1,5,0,1,2.8
897,Synamedia,3.7,2,1,0.5,0,0,2.8
898,DigiCert,3.7,5,1,0.5,0,0,3
899,PowerObjects,3.7,5,1,0.5,0,0,2.8
900,Marco,3.7,1,1,10,0,0,2.5
901,ZT Systems,3.7,2,1,0.001,0,1,2.8
902,3Com,3.7,2,1,0.5,0,1,3
903,Techedge,3.7,5,1,0.001,0,1,2.7
904,Park Place Technologies,3.7,1,1,0.5,0,1,2.7
905,Farfetch,3.7,4,1,0.5,0,1,2.8
906,Logica,3.6,5,1,0.5,0,1,2.9
908,LINE,3.7,5,1,2,0,0,3
909,Sapiens,3.6,3,1,0.001,0,0,2.8
910,Sapiens,3.6,3,1,0.5,0,1,2.8
911,Playtika,3.6,5,1,0.001,0,1,2.9
912,Gympass,3.6,5,1,10,0,0,2.7
914,Unit4,3.6,2,1,10,0,1,2.9
915,CSR (UK),3.6,1,1,0.5,0,1,2.9
917,Nous Infosystems,3.6,2,1,0.001,0,0,2.9
918,in-tech,3.6,3,2,0.001,0,1,2
919,The Knot Worldwide,3.6,3,1,0.001,0,0,2.8
920,Sitecore,3.6,5,1,1,0,1,2.9
923,FPT Software,3.6,4,1,0.05,0,1,2.7
924,Abacus Technology,3.6,3,1,0.5,0,1,2.6
926,FUJIFILM North America,3.6,3,2,0.1,0,0,2.4
928,Tesco Bengaluru,3.6,5,1,0.1,0,1,2.9
929,Sophos,3.6,2,1,1,0,1,2.8
930,Vistex,3.6,1,1,0.5,0,0,3.1
932,Sonata Software,3.6,5,1,1,0,0,2.9
933,Altran Group,3.5,5,1,0.5,0,1,2.7
934,Indra,3.5,5,1,0.001,0,1,2.6
935,Constellation Software,3.5,5,1,0.5,0,1,3.5
936,HCL Infosystems,3.5,5,1,0.5,0,1,3
937,Long View Systems,3.5,4,1,0.5,0,0,2.7
938,INX,3.5,5,1,0.5,0,0,2.5
939,Global Crossing,3.5,4,1,5,0,1,2.7
940,Hemmersbach,3.5,3,1,5,0,0,2.1
941,Zalando,3.5,5,1,2,0,0,2.8
942,Giesecke & Devrient,3.5,5,1,0.01,0,0,2.7
943,Navico,3.5,5,1,0.1,0,1,2.3
946,Signant Health,3.5,2,1,0.5,0,1,2.6
947,DataArt,4.7,5,1,0.01,0,1,3.1
949,SINA,4,5,1,0.001,0,0,2.4
953,V2soft,3.8,1,1,0.5,0,1,2.3
959,SMART Modular,3.7,4,2,0.05,0,0,2.3
962,Kontron,3.6,5,1,0.5,0,0,2.8
964,Rick's Cabaret,3.6,5,1,0.025,0,0,3
965,Polaroid,3.5,5,1,0.5,0,0,1
966,1&1 IONOS,3.5,2,1,0.1,0,1,2.8
986,Table XI,5,5,3,0.005,0,0,3
991,ObjectVideo Labs,5,5,3,0.001,0,0,1.7
996,TellApart,5,5,3,0.01,0,0,3.2
999,Coventor,5,3,3,0.01,0,1,2.1
1011,Microsoft,4.3,4,3,0.01,0,1,3.1
1033,Macro Solutions,5,3,1,10,1,1,2.5
1038,500friends,5,5,1,10,0,1,2.9
1045,You Need A Budget,5,5,3,0.05,0,1,3.2
1054,CSZNet,5,5,3,0.001,0,0,3
1060,Advoco Inc.,5,5,3,0.001,0,1,2
1073,Intel Corporation,4.1,4,3,0.025,0,1,3
1078,Infosys,3.1,2,3,0.005,0,0,2.6
1084,Pricefx,5,5,1,10,1,1,3.2
1085,Trove,5,5,1,10,1,1,3
1086,PicnicHealth,5,5,1,10,1,1,3
1087,DataFox,5,5,1,10,1,1,3
1088,Phoenix Operations Group,5,3,1,10,1,1,1
1089,Gladly,5,2,1,10,1,1,3
1091,Cognition Corp,5,5,1,10,1,1,3.3
1093,J P Systems,5,3,1,10,1,1,1
1096,STORIS,5,5,3,0.001,0,0,2.7
1098,HRMS Solutions,5,5,2,0.001,0,1,1.5
1099,Triniti Consulting,5,5,3,0.001,0,0,3
1100,Koddi,5,3,3,0.001,0,1,2.9
1101,Rollbar,5,4,3,0.01,0,1,2.9
1102,GreatHorn,5,5,3,0.01,0,1,3
1103,dv01,5,5,3,0.001,0,1,2.7
1105,SimpleLegal,5,3,3,0.005,0,0,2.6
1107,Stylitics,5,5,3,0.025,0,1,2.8
1110,CobbleStone Software,5,2,3,0.001,0,1,3
1111,VELOX Media,5,5,3,0.001,1,1,3
1112,Sandboxx,5,5,3,0.01,0,1,2.5
1113,Phoenix Operations Group,5,3,3,0.001,0,1,1
1115,Productive Power,5,5,3,0.005,0,0,2.4
1116,Kipsu,5,5,3,0.001,0,1,2.9
1117,Buoy Health,5,5,3,0.001,0,0,3
1119,Guru Technologies,5,2,3,0.01,0,0,2.9
1120,Guru Technologies,5,2,3,0.001,0,0,2.9
1121,Annkissam,5,5,3,0.01,0,0,2.8
1123,VELOX Media,5,5,3,0.001,0,0,3
1124,Chronicled,5,5,3,0.001,0,1,2.8
1125,Sandboxx,5,5,3,0.025,0,1,2.5
1129,Buoy Health,5,5,3,0.001,0,0,3
1130,Fivetran,5,4,3,0.01,0,1,3.1
1131,Network & Security Technologies,5,5,3,0.001,0,1,1
1133,Edgewater Federal Solutions,5,3,3,0.001,1,1,3
1134,Juniper Square,5,3,3,0.001,1,1,2.9
1135,Triniti Consulting,5,5,3,0.01,0,1,3
1136,Table XI,5,5,3,0.001,0,0,3
1138,YOP IT Solutions,5,5,3,0.025,0,1,4
1139,Superhuman,5,5,3,0.001,0,1,3.1
1140,LeanIX,5,5,3,0.001,0,0,3.1
1145,Airkit,5,5,2,0.025,0,0,3.5
1146,Rubica,5,4,3,0.01,0,1,3.2
1147,CyberCube,5,5,3,0.001,0,1,3.4
1148,Groove,5,5,3,0.05,0,1,2.7
1151,MANTL,5,5,3,0.01,0,0,3
1154,Rubica,5,4,3,0.001,0,0,3.2
1156,Airkit,5,5,3,0.025,0,1,3.5
1157,Agiloft,5,5,3,0.001,0,0,3.2
1158,Front,5,4,3,0.001,0,0,2.8
1161,Microsoft,4.3,4,3,0.001,0,1,3.1
1162,Cisco Systems,4.2,4,3,0.001,0,1,3
1163,Intel Corporation,4.1,4,3,0.001,0,0,3
1164,Apple,4.1,4,3,0.001,0,0,3
1167,Tata Consultancy Services,3.7,2,3,0.001,0,0,2.7
1171,XOR,5,5,3,0.001,0,0,2.3
1173,Neverware,5,5,3,0.001,0,1,3.7
1174,CollabraSpace,5,3,3,0.001,0,1,2
1176,AIS (NV),5,5,3,0.001,0,0,3
1178,Fleetio,5,5,1,10,1,1,2.6
1179,Scalyr,5,5,1,10,1,1,2.7
1180,LogicGate,5,5,1,10,1,1,2.6
1181,Blueshift,5,3,1,10,1,1,2
1182,Harness,5,3,1,10,1,1,3.4
1183,Configure One,5,5,1,10,1,1,3.1
1184,DealCloud,5,2,1,10,0,1,3
1185,Flockjay,5,5,1,10,1,1,1
1186,rideOS,5,5,1,10,1,1,2.9
1187,Computronix,5,5,1,10,1,1,2.9
1188,Counterpoint Consulting,5,5,3,0.001,0,0,2.8
1190,Computronix,5,5,3,0.001,0,0,2.9
1192,AlertMedia,5,5,3,0.005,0,1,2.8
1195,Grammarly,5,5,3,0.05,0,0,2.9
1196,Rigor,4.9,5,3,0.001,0,0,3.1
1198,J2 Interactive,5,5,3,0.01,0,0,3.3
1199,Simpplr,5,5,3,0.001,0,1,3.4
1200,Simpplr,5,5,3,0.001,0,0,3.4
1202,Nova Credit,4.9,5,2,0.001,0,0,2.9
1203,GitPrime,4.9,5,3,0.001,0,0,2.7
1204,KirkpatrickPrice,4.9,5,3,0.001,0,0,4
1205,Chili Piper,4.9,5,3,0.001,0,0,3.3
1206,Brilliant Infotech,4.9,2,3,0.001,0,0,3.5
1207,Seeq,4.9,5,3,0.05,0,0,2.5
1209,SweetLabs,4.9,5,3,0.05,0,0,2.9
1210,Chili Piper,4.9,5,3,0.05,0,0,3.3
1211,GitPrime,4.9,5,3,0.01,0,1,2.7
1212,Nova Credit,4.9,5,3,0.001,0,1,2.9
1214,Zudy,4.9,3,3,0.001,0,0,2.3
1215,Hotjar,4.9,5,2,0.001,0,1,3.5
1216,Expel,4.9,5,3,0.001,0,1,2.8
1218,Corporate Tools,4.9,5,3,0.025,0,1,2.5
1219,Opex Analytics,4.9,3,3,0.025,0,0,3.3
1220,Stackla,4.9,3,3,0.025,0,0,3
1223,Zennify,4.9,4,3,0.001,0,0,2.6
1224,Opex Analytics,4.9,3,3,0.001,0,1,3.3
1225,Avlino,4.9,5,3,0.001,0,0,2.3
1226,Zudy,4.9,3,3,0.005,0,0,2.3
1227,Hotjar,4.9,5,3,0.01,0,0,3.5
1228,ChartIQ,4.9,3,3,0.005,0,1,2
1229,RevUnit,4.9,3,3,0.05,0,0,2.8
1231,RevUnit,4.9,3,3,0.05,0,1,2.8
1232,CoNetrix,4.9,5,3,0.005,0,0,4
1233,Plum Group,4.9,5,3,0.001,0,1,2
1234,Numetric,4.9,5,3,0.001,0,0,2.7
1235,SchoolAdmin,4.9,5,3,0.05,0,0,4
1237,Mavens,4.9,2,3,0.001,0,0,3.9
1238,AXIA Consulting,4.9,5,3,0.001,0,1,2.5
1239,Wiredrive,4.9,5,3,0.05,0,1,3.3
1240,Data Masons Software,4.9,5,3,0.001,0,0,3
1242,Torrent Consulting,4.9,1,3,0.001,0,0,3
1243,Cognistx,4.9,5,3,0.001,0,1,2.8
1244,Chatbooks,4.9,5,3,0.001,0,1,2.9
1245,ENAVATE,4.9,5,3,0.001,0,0,3.2
1247,Zylo,4.9,5,3,0.001,0,0,3
1248,Apprenda,4.9,5,3,0.001,0,0,3.8
1249,GoCo.io,4.9,5,3,0.001,0,1,2.8
1250,Google,4.4,4,3,0.001,0,1,3.3
1251,Microsoft,4.3,4,3,0.001,0,0,3.1
1252,Cisco Systems,4.2,4,3,0.001,0,1,3
1253,Intel Corporation,4.1,4,3,0.001,0,0,3
1254,Apple,4.1,4,3,0.001,0,0,3
1255,Amazon,3.9,4,3,0.001,0,0,3
1256,IBM,3.8,3,3,0.001,0,0,2.8
1257,Tata Consultancy Services,3.7,2,3,0.025,0,1,2.7
1258,Infosys,3.1,2,3,0.025,0,0,2.6
1259,Wipro,2.9,4,3,0.001,0,0,2.8
1260,Appcast,4.9,5,3,0.001,0,0,3
1262,Informed.co,4.9,2,3,0.025,0,1,2.8
1263,Button,4.9,5,3,0.05,0,1,3.2
1265,Silicon Staff IT Services,4.9,4,2,0.05,0,1,3
1266,IDx (Iowa),4.9,5,3,0.001,0,1,2.4
1267,Shyft Technologies,4.9,5,3,0.025,0,0,3.3
1269,98point6,4.9,5,3,0.001,0,1,3.3
1270,Verkada,4.9,5,2,0.025,0,0,2.8
1272,Security Innovation,4.9,4,3,0.001,0,1,3.7
1273,SARA SOFTWARE SYSTEMS,4.9,5,3,0.001,0,1,4
1275,Yummly,4.9,5,1,10,1,1,2.8
1276,6sense,4.9,5,1,10,1,1,3.1
1278,Reaktor,4.9,5,1,10,1,1,2.9
1279,Next Century,4.9,3,1,10,1,1,3.1
1281,Storyblocks,4.9,3,1,10,0,1,3.7
1282,15Five,4.9,2,1,10,1,1,3
1284,Instapage,4.9,5,1,10,1,1,2.6
1285,Epic!,4.9,5,3,0.001,0,1,3.7
1288,IGEL,4.9,5,3,0.001,0,1,3.3
1290,"TCG, Inc.",4.9,3,3,0.001,0,0,2.9
1291,Cargas Systems,4.9,5,3,0.001,0,0,3.3
1294,August Schell,4.9,5,3,0.001,0,1,2
1297,Gradelink,4.9,5,3,0.05,0,0,3
1298,Celect,4.9,5,3,0.001,0,0,3
1299,Classy Llama,4.9,5,3,0.01,0,0,2.9
1301,Aurora Innovation,4.9,4,3,0.005,0,1,3
1302,Fetch Rewards,4.9,1,3,0.001,0,1,2.3
1304,dscout,4.9,5,2,0.1,0,1,2.9
1305,Networking For Future,4.9,5,3,0.05,1,1,3.2
1308,Business Technology Partners,4.9,1,3,0.025,0,1,3
1309,ASCII Group,4.9,5,3,0.001,1,1,2.4
1311,Tempered Networks,4.9,5,3,0.001,0,1,2
1313,Cybrary,4.9,3,3,0.001,0,0,2
1317,Quantum Workplace,4.9,5,3,0.05,0,1,2.5
1318,Poshmark,4.9,5,3,0.05,0,1,2.6
1319,Quick Left,4.9,5,3,0.025,0,1,3
1321,Quantum Workplace,4.9,5,3,0.001,0,1,2.5
1322,BTI360,4.9,3,3,0.01,0,1,2.9
1324,Poshmark,4.9,5,3,0.001,0,0,2.6
1325,BeenVerified.com,4.9,5,3,0.001,0,0,2.8
1326,Teachers Pay Teachers,4.9,5,3,0.001,0,1,2.9
1327,Quartzy,4.9,5,3,0.001,0,0,2.8
1328,"Visionist, Inc.",4.9,5,3,0.001,0,0,2.3
1330,Remesh,4.9,1,3,0.001,0,1,3
1331,Valimail,4.9,5,3,0.001,0,0,3
1332,June,4.9,5,3,0.001,0,1,2.5
1333,Periscope Data,4.9,5,3,0.05,0,1,2.6
1337,Kleiner Perkins Caufield & Byers,4.8,5,3,0.01,0,1,2.7
1338,3Sharp,4.9,5,2,0.025,0,1,2.7
1339,Zumasys,4.8,5,3,0.05,0,0,3.3
1340,CalTech (Texas),4.8,5,3,0.001,0,1,2.9
1343,MindPoint Group,4.9,3,3,0.01,0,0,2.9
1344,Kimble Applications,4.9,5,3,0.001,0,1,2.8
1346,HoneyBook,4.9,5,3,0.01,0,0,2.9
1348,Marxent,4.9,1,3,0.01,0,0,3.2
1349,Cloudinary,4.9,5,2,0.5,0,1,2.2
1350,HoneyBook,4.9,5,3,0.01,0,1,2.9
1351,Corelight,4.9,5,3,0.025,0,0,3.2
1352,Merge IT,4.8,5,3,0.01,0,0,3
1353,percona,4.8,5,3,0.001,0,1,2.9
1354,G2 Inc.,4.8,5,3,0.01,0,1,2.8
1355,Online Business Systems,4.8,5,2,0.5,0,1,3
1356,Intevity,4.8,5,3,0.001,0,0,2
1357,Khoj Information Technology,4.8,5,3,0.001,0,0,4
1358,Contactually,4.8,5,3,0.001,0,0,2.7
1359,VALiNTRY,4.8,3,3,0.025,0,1,2.5
1362,Synaptic Advisory Partners,4.8,5,3,0.001,0,1,3
1363,Contactually,4.8,5,3,0.001,0,1,2.7
1364,Orbital Insight,4.8,3,3,0.025,0,1,3
1365,SecureLink (TX),4.8,3,3,0.001,1,1,3.1
1367,ARCOS,4.8,5,3,0.001,0,1,2.7
1368,Plaid,4.8,2,3,0.1,0,0,2.8
1369,First Orion,4.8,3,3,0.01,0,1,3
1370,Plus3 IT Systems,4.8,3,3,0.01,0,1,3.5
1373,Shield AI,4.8,2,3,0.01,0,0,3.6
1374,SimplePractice,4.8,4,3,0.025,0,1,2.6
1375,Sezzle,4.8,5,3,0.001,0,1,2.7
1378,AEGIS.net,4.8,3,3,0.001,0,1,3
1381,Select Resources,4.8,1,3,0.001,0,1,1
1382,BlueModus,4.8,5,3,0.001,0,0,3.1
1383,Zerion Software,4.8,5,3,0.001,0,0,3
1385,PRINCETON IT SERVICES INC.,4.8,5,3,0.05,0,1,3
1387,Karat,4.8,5,3,0.001,0,0,2.8
1388,SimplePractice,4.8,4,3,0.005,0,0,2.6
1389,GoFormz,4.8,5,3,0.01,0,1,3
1390,mobileforming,4.8,5,3,0.01,0,1,2.9
1391,SimplePractice,4.8,4,2,0.05,1,0,2.6
1393,Alation,4.8,5,3,0.001,0,1,2.9
1396,Mailgun Technologies,4.8,5,3,0.001,1,1,3.5
1397,Real-Time Innovations,4.8,5,3,0.005,0,1,3
1400,Entelo,4.8,5,2,0.001,0,0,2.9
1402,Geopointe,4.8,4,3,0.001,0,1,2.5
1404,Solution Design Group,4.8,1,3,0.001,0,0,3.1
1405,MessageGears,4.8,5,3,0.001,0,1,1.7
1406,Rithmio,4.8,5,3,0.001,0,0,2.5
1407,Color Genomics,4.8,5,3,0.025,0,1,2.9
1409,Source Allies,4.8,1,3,0.025,0,1,2.9
1411,SurfMerchants,4.8,5,3,0.025,0,0,3
1413,TigerGraph,4.8,5,3,0.025,0,1,3
1415,Asymmetrik ,4.8,5,3,0.01,0,0,2.8
1417,FastSpring,4.8,5,3,0.01,0,0,2.8
1421,Workato,4.8,5,3,0.001,0,0,3.1
1422,V12 Group,4.8,5,3,0.001,0,0,3.1
1423,Tigerpaw Software,4.8,5,3,0.01,0,0,3.2
1424,FastSpring,4.8,5,3,0.001,0,0,2.8
1425,ActivTrak,4.8,3,3,0.001,0,0,2.7
1426,Engagio,4.8,5,3,0.001,0,0,3.5
1430,Allen Institute for AI,4.8,5,3,0.001,0,0,3.1
1431,AKA Enterprise Solutions,4.8,5,3,0.05,0,1,2.8
1432,Culture Amp,4.8,5,3,0.05,0,1,3
1437,Dwelo,4.8,4,3,0.01,0,0,3
1438,PhotoShelter,4.8,5,3,0.025,0,1,2
1440,PhotoShelter,4.8,5,2,0.05,0,1,2
1442,GRIN,4.8,5,3,0.001,0,1,3
1446,Amnet inc,4.8,5,3,0.025,0,0,3
1449,Buildium,4.8,5,3,0.001,0,0,3.2
1450,Clari,4.8,5,3,0.01,0,0,3.1
1454,Buildium,4.8,5,3,0.05,0,1,3.2
1455,Liventus,4.8,1,3,0.001,0,0,2.6
1458,NimbleUser,4.8,5,3,0.01,0,0,2.7
1459,Impact Advisors,4.8,1,2,0.001,0,1,3.3
1460,Crypsis Group,4.8,3,3,0.05,0,1,2.8
1461,Robin Powered,4.8,5,3,0.01,0,1,2.8
1463,Knowledge Anywhere,4.8,4,3,0.001,0,1,2.5
1464,Curata,4.8,5,3,0.01,0,0,2.5
1468,Docmation,4.8,5,3,0.001,0,1,3.3
1469,BetterDoctor,4.8,5,3,0.05,0,1,2
1470,eCreations,4.8,5,2,0.001,0,0,3.5
1471,BetterDoctor,4.8,5,3,0.025,0,0,2
